freq_per_A,resolution_A,H6_vs_H7,H6_vs_H8,H6_vs_W6,H6_vs_W7,H6_vs_W8,H7_vs_H8,H7_vs_W6,H7_vs_W7,H7_vs_W8,H8_vs_W6,H8_vs_W7,H8_vs_W8,W6_vs_W7,W6_vs_W8,W7_vs_W8
0.48946,2.04,0.0067,0.0002,-0.0082,0.0034,-0.0006,0.0008,0.0029,0.0170,0.0148,0.0071,0.0085,0.0093,0.0182,0.0071,0.0148
0.49322,2.03,0.0079,0.0034,-0.0093,0.0052,-0.0018,0.0023,0.0052,0.0226,0.0191,0.0062,0.0104,0.0090,0.0242,0.0108,0.0215
0.49699,2.01,0.0120,0.0082,-0.0089,0.0063,0.0012,0.0058,0.0051,0.0257,0.0228,0.0081,0.0154,0.0146,0.0284,0.0175,0.0268
0.50075,2.00,0.0174,0.0113,-0.0032,0.0112,0.0005,0.0085,0.0123,0.0328,0.0233,0.0085,0.0188,0.0208,0.0335,0.0243,0.0319
0.50452,1.98,0.0213,0.0149,-0.0022,0.0112,0.0006,0.0121,0.0138,0.0376,0.0277,0.0086,0.0209,0.0252,0.0409,0.0295,0.0353
0.50828,1.97,0.0229,0.0162,0.0040,0.0158,0.0039,0.0145,0.0189,0.0411,0.0267,0.0102,0.0229,0.0249,0.0425,0.0342,0.0356
0.51205,1.95,0.0219,0.0168,0.0076,0.0131,0.0079,0.0169,0.0192,0.0406,0.0228,0.0105,0.0240,0.0238,0.0447,0.0345,0.0396
0.51581,1.94,0.0202,0.0143,0.0097,0.0134,0.0105,0.0154,0.0195,0.0415,0.0171,0.0144,0.0219,0.0256,0.0397,0.0306,0.0366
0.51958,1.92,0.0195,0.0101,0.0101,0.0115,0.0116,0.0163,0.0170,0.0375,0.0126,0.0154,0.0222,0.0231,0.0363,0.0281,0.0351
0.52334,1.91,0.0214,0.0089,0.0054,0.0089,0.0125,0.0126,0.0152,0.0341,0.0095,0.0151,0.0198,0.0242,0.0305,0.0226,0.0314
0.52711,1.90,0.0157,0.0050,0.0043,0.0088,0.0126,0.0103,0.0116,0.0284,0.0087,0.0130,0.0139,0.0177,0.0265,0.0140,0.0280
0.53087,1.88,0.0124,0.0057,-0.0001,0.0049,0.0135,0.0056,0.0079,0.0255,0.0083,0.0097,0.0094,0.0137,0.0198,0.0085,0.0213
0.53464,1.87,0.0084,0.0041,-0.0036,0.0014,0.0087,0.0009,0.0068,0.0217,0.0114,0.0072,0.0087,0.0089,0.0162,0.0049,0.0206
0.53840,1.86,0.0099,0.0041,-0.0054,0.0003,0.0066,0.0044,0.0029,0.0236,0.0129,0.0068,0.0096,0.0048,0.0170,0.0052,0.0210
0.54217,1.84,0.0111,0.0064,-0.0089,0.0020,0.0049,0.0082,0.0062,0.0261,0.0171,0.0075,0.0133,0.0100,0.0213,0.0071,0.0206
0.54593,1.83,0.0143,0.0142,-0.0059,0.0046,0.0077,0.0132,0.0083,0.0304,0.0208,0.0094,0.0114,0.0132,0.0281,0.0132,0.0269
0.54970,1.82,0.0191,0.0163,-0.0050,0.0086,0.0051,0.0160,0.0109,0.0340,0.0248,0.0097,0.0152,0.0199,0.0350,0.0198,0.0296
0.55346,1.81,0.0238,0.0176,0.0030,0.0114,0.0057,0.0195,0.0154,0.0373,0.0254,0.0133,0.0190,0.0228,0.0402,0.0259,0.0359
0.55723,1.79,0.0280,0.0186,0.0074,0.0110,0.0066,0.0159,0.0184,0.0396,0.0284,0.0144,0.0244,0.0254,0.0474,0.0318,0.0389
0.56099,1.78,0.0290,0.0165,0.0081,0.0106,0.0070,0.0170,0.0227,0.0430,0.0278,0.0141,0.0268,0.0264,0.0488,0.0366,0.0386
0.56476,1.77,0.0327,0.0170,0.0082,0.0131,0.0073,0.0147,0.0251,0.0424,0.0254,0.0155,0.0262,0.0327,0.0543,0.0372,0.0420
0.56852,1.76,0.0287,0.0155,0.0105,0.0130,0.0119,0.0151,0.0254,0.0456,0.0207,0.0180,0.0234,0.0291,0.0532,0.0354,0.0418
