uid,ensemble_class,gmm_class,gmm_max_resp
111479739565664911,P6,P6,0.9997024474901571
17761062322547241474,P6,P6,0.9696172329337757
13002817114190583824,P6,P6,0.9990165628620191
15447759152049963451,P6,P6,0.9997750823825607
5996507679825593583,P6,P6,0.9241485182492819
4821137405344203240,P6,P6,0.993637006312199
13222389220575412052,P6,P6,0.9964440494128092
5012388918981888708,P6,P6,0.9750447229256104
1479175246748573655,P6,P6,0.9994386158754187
15109365926765148367,P6,P6,0.998611500213045
17764431257709505622,P6,P6,0.9983056256455723
17859096366592306473,P6,P6,0.9988431977189681
10726336330405717899,P6,P6,0.9995683040927701
8468649955182539853,P6,P6,0.9990004972853874
1735530589891440231,P6,P6,0.9976229588782123
3277753441964604048,P6,P6,0.9999550131216939
1828511078943679699,P6,P6,0.97870327028125
13219593527525023147,P6,P6,0.9992470610715175
6211071829820976443,P6,P6,0.9996712804261993
3878110518148246135,P6,P6,0.9703245629205679
2500099936550581752,P7,P6,0.5219192753631337
1893564437832435091,P6,P6,0.9987031891558465
17629560603797888226,P6,P6,0.999653178578171
9397599463883674362,P6,P6,0.9973522926249975
1068330585135400686,P6,P6,0.9999781012267855
14751671609576902184,P6,P6,0.9999989997867165
9669619003356821865,P6,P6,0.9999961182244596
15156246056722557152,P6,P6,0.9984344438535188
8167082235169424430,P6,P6,0.9992340487285403
5862267266504403092,P6,P6,0.9759500094462473
10994250691664794046,P6,P6,0.9972290164837451
12216089340025142093,P6,P6,0.9981278237372777
17769834888468513920,P6,P6,0.9765977788717272
17148519262433074471,P6,P6,0.9981593199169435
7374902986147071824,P6,P6,0.9997687676514588
560713406484723786,P6,P6,0.9996891877897679
10399078216422878760,P6,P6,0.9693021936164288
10030077880327216799,P6,P6,0.9999895564814417
15430756041032302844,P6,P6,0.9920745893791785
5645950714039395631,P6,P6,0.9992119616654668
12922317308094372891,P6,P6,0.9998446826089893
6546768356267086016,P6,P6,0.9960550118742637
5225072224338797056,P6,P6,0.9999629816510228
18315575924134444985,P6,P6,0.9952553127175301
15140874887542086471,P6,P6,0.9964890094435667
2509171043567677708,P6,P6,0.9878712344350922
6895456453143391464,P6,P6,0.7826909544121508
3693045583237609496,P6,P6,0.9997923861782747
4296647018935497781,P6,P6,0.9985130851174636
9953794191141273684,P6,P6,0.9963435455840177
10863534216012842462,P6,P6,0.9996229056988704
5627173036773265800,P6,P6,0.9990210815232046
17868215935101082705,P6,P6,0.9389287707252382
3855932176809428537,P6,P6,0.9999709036192884
8610079461091420317,P6,P6,0.9999648311129335
11235543102289442700,P6,P6,0.9999497820783629
5879426860432927745,P6,P6,0.9880705669376005
18117121597685082641,P6,P6,0.9999328224235379
11895779913850545918,P6,P6,0.9977056314458373
450994509023073887,P6,P6,0.9775207719801916
6344139375750241036,P6,P6,0.9999246464693203
1032620289245288064,P6,P6,0.9998038638989415
692157123421335231,P6,P6,0.9988190401821826
13894787995630725541,P6,P6,0.9972957828840883
4154779529345125894,P6,P6,0.9939691164057096
5072295203497022185,P6,P6,0.9861891999011911
1640549458582001361,P6,P6,0.9996148009752275
10943342702019738795,P6,P6,0.9999826558512036
11408734300198068335,P6,P6,0.9981959298598518
